category,sub_category,crimeaditionalinfo
Cyber Attack/ Dependent Crimes,Ransomware Attack,"I never imagined something like this could happen to me, especially since I'm so cautious. But then I started noticing that my online activity felt different, slower even. I can't even describe it well because everything seemed normal, except for the fact that I was constantly getting logged out of my accounts. Honestly, itâ€™s such a mess, and I donâ€™t even know where to start. Iâ€™ve contacted support, but they keep giving me the runaround. The more I tried to fix it, the more problems came up. My work account was notifiction, and then I got locked out of everything. This has really left me anxious and frustrated, I canâ€™t sleep knowing my information is out there. Iâ€™ve even considered deleting all my accounts, but thatâ€™s not a solution. Even my phone isnâ€™t working right anymore. Itâ€™s so stange how everything just fell apart after that one email."
Any Other Cyber Crime,Other,I am from Patiala City in Punjab and with me I found a side on google online  Online Earning that I was checking how to earn money online then I got a side which is called he did Will you get my money back donnot get me drawn I am a cybercrime  I gave your complaint The village result is Ravi Kumar  I am from Patiala City Punjab  I was checking how to earn money online website on google  That s when I found a website called  She was uploading the product key of R Rahman to com and they lured me on UPI by luring me commission and sometimes they took   from me by giving me a fast commission and like that from meand total my payment  rupees frod
Any Other Cyber Crime,Other,Online Monetary fraud through investment
RapeGang Rape RGRSexually Abusive Content,,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife Â a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,UPI Related Frauds,I was addvertisement in OLX for selling fridge on dated  and Anil kumar was agree and which mobile number is  But Anil Kumar has frauded with me and also was saying Army officerSo I request try to take appropriate action please
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI FRAUD PHONE PE
BANK NAME Punjab National Bank including Oriental Bank of Commerce and United Bank of India	
ACCOUNT NO 
TOTAL AMOUNT  
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Any Other Cyber Crime,Other,Hi on  I had withdrawn an amount of  from my nearest ATM from the PNB branch However after some time I noticed that an amount of Rs  was debited from my account A transaction of  rupees was done  times which adds up to  Before the amount got debited I also received a message regarding credit of  rupees in my account As soon as noticed this I had blocked my ATM pin and have also reported this incident to ICICI bank with all the required documents I have submitted a photocopy of my front ATM card and a photocopy of my ID proof in the nearest ICICI bank which Vasundhara Enclave branch
Online Financial Fraud,EWallet Related Fraud,"I have advertising business on Instagram so I have clients from all over the world  my one of client transferred money through skrill wallet and I did not receive it so I contacted skrill wallet customer care  He told me invest  so that I can receive my clients money he told me to follow steps and I did then after investing money he told me that i paid money after some time span expiry  then he told me to pay again  rs same amount so that I can receive my all money plus my clients money and he provided me another UPI id  After paying second amount he told me to wait for  min I waited after  min I called him and he said your client has requested for refund so your account is under in suspicious activity  I told him to help he said he can not help until I do not pay same amount to him
His contact no is given below 
 
"
Sexually Obscene material,,Please report this number  for abusive words and sharing abusive sentence reported in WhatsApp chat from Delhi The incidents happening from long time along with threatened words please look the same asap
Online and Social Media Related Crime,Cheating by Impersonation,"Contacted olx seller for second hand ps looked genuine seller he mentioned in olx add that he is from indore but later I found out he is a distributor from kolkata and delaer from current india technology which I check the company with this name existed so I though it is as genuine and made advance payment of  said it will reach with in  days happened on  jan but not got delivery not picking phone and replying to mail 
They were imposters

Mail retaillimitedcurrenttechnologygmailcom
Seller  
Seller  "
Online Financial Fraud,EWallet Related Fraud,"They have an app called M Smart Recharge from which cheating starts giving  cashback to recharge
UPI is asked to add money money is deducted from the bank but is not added to the wallet cannot be contacted cannot be asked for refund"
Any Other Cyber Crime,Other,Al India credit and cash loan application fraud and took  from me to release the amount also now asking for  more to release the amount which I paid I said I want my money which I have paid to get loan
Online Financial Fraud,UPI Related Frauds,Fraud Amount Rs 
Online and Social Media Related Crime,FakeImpersonating Profile,"Iss person ne mere sath  ka froud kiya h ye person khud ko army man bolta h iska no ye h   inhone mujhe online phone dikaya tha uske liye inhone mujh se phle  phonepe karvaye uske baad mint k baad or phone pe krvaye or bola kal apko parcel phoch jayege uske baad baje subh call aayi ki apka parcel phoch gya h aap baki k pese pahle daal do unhone mujhe account no bejha jo ye h Ac  
Name  Post Office
IFSC code  FDRL
FEDERAL BANK
Mane inke account mai baki ka amount Paytm k though  bejh diye fir bhi uske baad fir usne mujh se rupees mange or mane dene se mana kr diya to unhone mujhe parcel dene se mana kr diya mere pass amount k sare translation save h or sabhi screenshot h please aap meri help kro"
